PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-2.17322659492493,-1.18506240844727,43.382381439209,7,0,0,0
2,0,0,-2.16830801963806,-0.930216908454895,42.415412902832,7,0,0,0
3,0,0,-2.16338968276978,-0.675371408462524,41.4484443664551,7,0,0,0
4,0,0,-2.15847110748291,-0.420525908470154,40.4814758300781,7,0,0,0
5,0,0,-2.15355277061462,-0.165680408477783,39.5145072937012,7,0,0,0
6,0,0,-2.14863419532776,0.089165061712265,38.5475387573242,7,0,0,0
7,0,0,-2.14371585845947,0.344010531902313,37.5805702209473,7,0,0,0
8,0,0,-2.13879728317261,0.598855972290039,36.6136016845703,7,0,0,0
9,0,0,-2.13387894630432,0.853701412677765,35.6466331481934,7,0,0,0
10,0,0,-2.12896037101746,1.10854685306549,34.6796646118164,7,0,0,0
11,0,0,-2.12404203414917,1.36339235305786,33.7126960754395,7,0,0,0
12,0,0,-2.1191234588623,1.61823773384094,32.7457275390625,7,0,0,0
13,0,0,-2.11420512199402,1.87308311462402,31.7787590026855,7,0,0,0
14,0,0,-2.10928654670715,2.1279284954071,30.8117904663086,7,0,0,0
15,0,0,-2.10436820983887,2.38277387619019,29.8448219299316,7,0,0,0
16,0,0,-2.099449634552,2.63761925697327,28.8778533935547,7,0,0,0
17,0,0,-2.09453129768372,2.89246463775635,27.9108848571777,7,0,0,0
18,0,0,-2.08961272239685,3.14730978012085,26.9439163208008,7,0,0,0
19,0,0,-2.08469438552856,3.40215492248535,25.9769477844238,7,0,0,0
20,0,0,-2.0797758102417,3.65700006484985,25.0099792480469,7,0,0,0
21,0,0,-2.07485747337341,3.91184496879578,24.0430107116699,7,0,0,0
22,0,0,-2.06975078582764,4.16668891906738,23.076042175293,7,0,0,0
23,0,0,-2.06311821937561,4.42152833938599,22.1090812683105,7,0,0,0
24,0,0,-2.05648565292358,4.67636775970459,21.1421203613281,7,0,0,0
25,0,0,-2.04985308647156,4.93120718002319,20.1751594543457,7,0,0,0
26,0,0,-2.04322052001953,5.1860466003418,19.2081985473633,7,0,0,0
27,0,0,-2.0365879535675,5.4408860206604,18.2412376403809,7,0,0,0
28,0,0,-2.02995538711548,5.695725440979,17.2742767333984,7,0,0,0
29,0,0,-2.02332282066345,5.95056486129761,16.307315826416,7,0,0,0
30,0,0,-2.01669025421143,6.20540428161621,15.3403549194336,7,0,0,0
31,0,0,-2.0100576877594,6.46024370193481,14.3733940124512,7,0,0,0
